Plan ID,渠道,标题,正文,触达成功,点击人次,发送日期
P0000,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩98份,快来领取优惠券 新人立减5元 免费配送,28562,431,2026-08-01
P0000,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩66份,快来领取优惠券 新人立减5元 免费配送,32845,3417,2026-08-01
P0000,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩62份,快来领取优惠券 新人立减5元 免费配送,24465,4879,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩65份,快来领取优惠券 新人立减5元 免费配送,10127,2408,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩97份,快来领取优惠券 新人立减5元 免费配送,7214,2152,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩91份,快来领取优惠券 新人立减5元 免费配送,40446,1303,2026-08-01
P0000,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩13份,快来领取优惠券 新人立减5元 免费配送,48830,704,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩43份,快来领取优惠券 新人立减5元 免费配送,31942,4685,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩46份,快来领取优惠券 新人立减5元 免费配送,29453,2690,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩82份,快来领取优惠券 新人立减5元 免费配送,14400,4626,2026-08-01
P0000,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩57份,快来领取优惠券 新人立减5元 免费配送,35167,2233,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩71份,快来领取优惠券 新人立减5元 免费配送,1920,864,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩52份,快来领取优惠券 新人立减5元 免费配送,47547,109,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩64份,快来领取优惠券 新人立减5元 免费配送,22832,2098,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩42份,快来领取优惠券 新人立减5元 免费配送,47113,615,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩73份,快来领取优惠券 新人立减5元 免费配送,15529,2054,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩70份,快来领取优惠券 新人立减5元 免费配送,30358,847,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩41份,快来领取优惠券 新人立减5元 免费配送,34288,4108,2026-08-01
P0000,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩39份,快来领取优惠券 新人立减5元 免费配送,37127,2484,2026-08-01
P0000,短信,限时秒杀 免费麦辣鸡腿堡 仅剩16份,快来领取优惠券 新人立减5元 免费配送,36877,2825,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩27份,快来领取优惠券 新人立减5元 免费配送,40530,4582,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩37份,快来领取优惠券 新人立减5元 免费配送,30162,850,2026-08-01
P0001,短信,限时秒杀 免费麦辣鸡腿堡 仅剩50份,快来领取优惠券 新人立减5元 免费配送,21777,4815,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩38份,快来领取优惠券 新人立减5元 免费配送,13050,1651,2026-08-01
P0001,APP Push,限时秒杀 免费麦辣鸡腿堡 仅剩5份,快来领取优惠券 新人立减5元 免费配送,41158,2230,2026-08-01
P0001,企微1v1,限时秒杀 免费麦辣鸡腿堡 仅剩9份,快来领取优惠券 新人立减5元 免费配送,6886,1166,2026-08-01
